Handle,Title,Product Description,SKU,Collection,Shipping Measurements,Specifications,Information,Recommendation,Care,Technical information,Measures,Form,Unit per box,Color,Material,Business type,Country of origin,Chipping resistance,Shock resistance,Porosity,Reinforced edges,Dishwasher,Microwave,Conventional oven
101-439712-plato-chip-and-dip-23-x-14.5-cm-actualite,PLATO CHIP and DIP 23 X 14.5 CM ACTUALITE,Actualite de Corona. Plato de Porcelana Chip & Dip 23 x 14.5 cm,101-439712,VAJILLA,29x24x15,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Botanero con una división.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 30 piezas en platos mayores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,23 x 14.5 cm,Ovalado,12,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería, Bar",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
101-523024-bowl-multiusos-15-cm-20-oz-actualite,BOWL MULTIUSOS 15 CM 20 OZ ACTUALITE,Actualite de Corona. Bowl de Porcelana Multiusos 15 cm 20 oz,101-523024,VAJILLA,32x32x28,,"Colección de vajilla en blanco europea, fabricada en Colombia. Combina la tradición y la modernidad que hacen resaltar lo mejor de las preparaciones gastronómicas. Esta colección tiene una amplia opción de piezas. Es altamente resistente por sus bordes reforzados, es muy util para uso profesional exigente y demandante.","Bowl Multiusos, para Cereal, Ensaladas Individuales.
El diseño es moderno y limpio, con aspecto de elegante minimalista.
El color es blanco europeo, manteniendo una capa brillante con apariencia llamativa.
Fabricado en porcelana duradera. 
Cocción en alta temperatura para resistir la absorción de humedad.
Producto Apilable
Horno seguro hasta 350° Fahrenheit","Proceso de lavado a mano o en lavavajillas, con detergente líquido con el fin de evitar rayar el esmalte de la vajilla.
Apile por formas y tamaños, no apile piezas mojadas.
Apile hasta 15 piezas en bowls menores de 22 cm.
Para quitar manchas, sumergir la pieza afectada en solución al 4% de cloro activo, máximo 20 minutos, luego enjuague y note la diferencia.",TRUE,15 cm 20 oz,Redondo,24,Blanco Europeo,Porcelana,"Restaurante, Hotel, Cafetería",Colombia,Alta,Alta,Menor de 1%,Si,Si,Si,Si (Hasta 200°C/392°F)
mf-216015-rallador-de-copos-22-mm-33-cm-acero-inoxidable,RALLADOR DE COPOS 22 MM 33 CM ACERO INOXIDABLE,Matfer. Rallador de Copos Acero Inoxidable 33 cm.,MF-216015,EQUIPO DE COCINA,31x6x4,,Rallador con cuchillas de Acero Inoxidable y Mango Negro de Matfer. Dimensión de la cuchilla 11 x 4 cm. de Matfer se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria.,"Rallador de Acero Inoxidable y Mango Negro
Uso Profesional.
Diseños prácticos y universales que se adaptan a cualquier negocio.","Fácil de limpiar y se puede usar lavavajillas, a mano utilizar jabón líquido para evitar rayaduras.",TRUE,33 cm,Irregular,1,Acero / Negro,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,Si,Si,N/A,N/A
mf-112503-pinzas-quita-espinas-de-pescado-9-cm,PINZAS QUITA ESPINAS DE PESCADO 9 CM,Matfer. Pinzas Quita Espinas de Pescado Acero Inoxidable,MF-112503,EQUIPO DE COCINA,19x7x3,,Pinzas Quita Espinas de Pescado de Acero Inoxidable de Matfer se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria.,"Pinzas Quita Espinas de Pescado Acero Inoxidable
Uso Profesional.
Diseños prácticos y universales que se adaptan a cualquier negocio.","Fácil de limpiar y se puede usar lavavajillas, a mano utilizar jabón líquido para evitar rayaduras.",TRUE,9 cm,Irregular,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Banquetes",Francia,N/A,Si,N/A,N/A,Si,N/A,N/A
mf-250502-termometro-de-bolsillo-digital--40/+200°-c,TERMOMETRO DE BOLSILLO DIGITAL -40/+200° C,Matfer. Termómetro Digital de Bolsillo  -40/+200° C,MF-250502,EQUIPO DE COCINA,25x8x2,,Termómetro Digital de Bolsillo -40/+200° C Sonda Fija de Acero Inoxidable 7.5 cm de Largo  de Matfer se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria.,"Termómetro Digital de Bolsillo -40/+200° C
Uso Profesional.
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,16.6 cm,Irregular,1,Blanco / Acero,,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
mf-250552-termometro-infrarojo--50/+280°-c,TERMOMETRO INFRAROJO -50/+280° C,Matfer. Termómetro Infrarojo -50/+280° C,MF-250552,EQUIPO DE COCINA,16x7x24,,Termómetro Infrarojo -50/280° C Medición de la Temperatura  de Superficie de los Alimentos sin Contacto de Matfer se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria.,"Termómetro Infrarojo -50/+280° C
Uso Profesional.
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,14.5 cm,Irregular,1,Blanco,,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
mf-262263-soplete-de-gas-recargable,SOPLETE DE GAS RECARGABLE,Matfer. Soplete de Gas Recargable,MF-262263,EQUIPO DE COCINA,17x7x25,,"Soplete de Gas Recargable para Trabajos de Pegado de Azúcar se Recarga Rápidamente con Cargas Universales de Butano, no Incluye Gas de Matfer se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria.","Soplete de Gas Recargable
Uso Profesional.
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar únicamente requiere de un paño húmedo,TRUE,13x17x16 cm,Irregular,1,Negro,,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,Si,N/A,N/A,N/A,N/A,N/A
mf-044178-sifon-de-espuma-.1-lt-acero-inoxidable,SIFON DE ESPUMA .1 LT ACERO INOXIDABLE,Matfer. Sifón de Espuma de Acero Inoxidable 1 lt,MF-044178,EQUIPO DE COCINA,32x22x35,,Sifón de Espuma de Acero Inoxidable de Matfer. Es un gran aliado para la decoración de pasteles en la repostería.,"Sifón de Espuma
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,1 Lt,Cilíndrica,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",Francia,Si,Si,N/A,Si,Si,N/A,N/A
mf-051136-cesta-individual-de-acero-inoxidable,CESTA INDIVIDUAL DE ACERO INOXIDABLE,Matfer. Cesta Individual,MF-051136,EQUIPO DE COCINA,18x16x17,,Cesta Individual de Acero Inoxidable de Matfer. Excelente para la Presentación de Guarniciones,"Cesta Individual Acero Inoxidable
Indispensable para dar a la mesa ese toque de modernidad y diseño.",Fácil de limpiar y se puede usar lavavajillas.,TRUE,10x8.5x8.5 cm,Rectángular,1,Acero,Acero Inoxidable,"Restaurante, Hotel, Cafetería, Banquetes",Francia,Si,Si,N/A,N/A,Si,N/A,N/A
mf-165016-mangas-pasteleras-desechables,MANGAS PASTELERAS DESECHABLES,Matfer. Mangas Pasteleras Desechables Caja con 100 Mangas,MF-165016,EQUIPO DE COCINA,31x3x54,,Mangas Pasteleras Desechables Caja con 100 pzs. Polietileno Temperatura máxima 70° C de Matfer se caracteriza por sus materiales resistentes y su excelente resultado en la batalla de la operación diaria.,"Mangas Pateleras Desechables
Uso Profesional
Diseños prácticos y universales que se adaptan a cualquier negocio.",Desechables,TRUE,51x30 cm,Triángular,1,Transparente,Poliétileno,"Restaurante, Hotel, Cafetería, Banquetes",Francia,N/A,N/A,N/A,N/A,N/A,N/A,N/A
